rank	lemma	upos	count	per_million
1	biti	AUX	64650747	69902.03
2	i	CCONJ	32422518	35056.05
3	u	ADP	30035287	32474.92
4	da	SCONJ	20050619	21679.24
5	sebe	PRON	17654521	19088.52
6	na	ADP	15595144	16861.87
7	koji	DET	13307617	14388.53
8	za	ADP	11531618	12468.28
9	taj	DET	9621299	10402.79
10	sa	ADP	8433460	9118.47
11	od	ADP	7201413	7786.35
12	a	CCONJ	6888863	7448.41
13	on	PRON	6547737	7079.58
14	htjeti	AUX	5868436	6345.10
15	i	PART	5531853	5981.18
16	ne	PART	5523436	5972.08
17	ovaj	DET	5492026	5938.12
18	o	ADP	4547926	4917.33
19	sav	ADJ	4509718	4876.02
20	moći	VERB	4419870	4778.88
21	što	PRON	4313747	4664.13
22	iz	ADP	4050678	4379.70
23	kao	SCONJ	3991318	4315.51
24	imati	VERB	3882067	4197.39
25	godina	NOUN	3814263	4124.08
26	ja	PRON	3717507	4019.46
27	svoj	DET	3600390	3892.83
28	ali	CCONJ	3210726	3471.52
29	oni	PRON	3142784	3398.06
30	kako	SCONJ	3091996	3343.14
31	jedan	NUM	2951440	3191.17
32	ili	CCONJ	2771282	2996.38
33	drugi	ADJ	2621869	2834.83
34	do	ADP	2619604	2832.38
35	mnogo	ADV	2595951	2806.81
36	velik	ADJ	2263282	2447.12
37	mi	PRON	2207599	2386.91
38	samo	ADV	2007440	2170.50
39	po	ADP	1978628	2139.34
40	neki	DET	1793764	1939.46
41	dan	NOUN	1787483	1932.67
42	čovjek	NOUN	1770322	1914.12
43	reći	VERB	1751244	1893.49
44	jer	SCONJ	1722570	1862.49
45	trebati	VERB	1717383	1856.88
46	te	CCONJ	1708359	1847.12
47	nov	ADJ	1707135	1845.80
48	naš	DET	1648975	1782.91
49	prvi	ADJ	1589503	1718.61
50	pa	CCONJ	1584568	1713.28
51	ako	SCONJ	1568860	1696.29
52	još	ADV	1563263	1690.24
53	dobar	ADJ	1502124	1624.13
54	kazati	VERB	1501513	1623.47
55	njegov	DET	1470410	1589.84
56	što	SCONJ	1458771	1577.26
57	onaj	DET	1432489	1548.84
58	vrijeme	NOUN	1389379	1502.23
59	zbog	ADP	1346724	1456.11
60	znati	VERB	1304237	1410.17
61	raditi	VERB	1291549	1396.46
62	dva	NUM	1275071	1378.64
63	ti	PRON	1267940	1370.93
64	već	ADV	1256291	1358.33
65	nakon	ADP	1249648	1351.15
66	tako	ADV	1240425	1341.18
67	prema	ADP	1234474	1334.74
68	svaki	DET	1199724	1297.17
69	morati	VERB	1179873	1275.71
70	vi	PRON	1163991	1258.54
71	nemati	VERB	1146061	1239.15
72	li	PART	1137847	1230.27
73	rad	NOUN	1070249	1157.18
74	dok	SCONJ	1057558	1143.46
75	njihov	DET	1013646	1095.98
76	zemlja	NOUN	1009568	1091.57
77	kada	ADV	1007225	1089.04
78	bez	ADP	1003443	1084.95
79	kad	SCONJ	996886	1077.86
80	kod	ADP	974086	1053.21
81	život	NOUN	971293	1050.19
82	vidjeti	VERB	955520	1033.13
83	malo	ADV	953993	1031.48
84	danas	ADV	952384	1029.74
85	moj	DET	941173	1017.62
86	dijete	NOUN	922720	997.67
87	mjesto	NOUN	913187	987.36
88	grad	NOUN	895552	968.29
89	doći	VERB	892463	964.95
90	pitanje	NOUN	883104	954.83
91	način	NOUN	879047	950.45
92	uz	ADP	876677	947.89
93	dio	NOUN	871125	941.88
94	broj	NOUN	860260	930.14
95	željeti	VERB	849234	918.21
96	sada	ADV	841948	910.34
97	ni	PART	841777	910.15
98	tko	PRON	833458	901.16
99	sam	ADJ	805411	870.83
100	dobro	ADV	793047	857.46
101	problem	NOUN	780333	843.72
102	protiv	ADP	769900	832.44
