rank	lemma	upos	count	per_million
272	stranka	NOUN	344431	372.41
304	navoditi	VERB	322737	348.95
336	postupak	NOUN	290992	314.63
395	skupština	NOUN	252146	272.63
432	uloga	NOUN	239665	259.13
461	kanton	NOUN	227064	245.51
466	istaći	VERB	225083	243.37
475	isticati	VERB	222054	240.09
491	sjednica	NOUN	216525	234.11
521	odbor	NOUN	205993	222.72
524	niz	NOUN	204074	220.65
617	sporazum	NOUN	175823	190.10
638	savez	NOUN	170578	184.43
648	preduzeće	NOUN	168734	182.44
696	načelnik	NOUN	156320	169.02
719	poslanik	NOUN	151373	163.67
784	ustanova	NOUN	141078	152.54
789	predsjedništvo	NOUN	140529	151.94
820	presuda	NOUN	135201	146.18
836	uvjet	NOUN	132100	142.83
852	sustav	NOUN	129405	139.92
870	obrana	NOUN	127173	137.50
915	nadležan	ADJ	121358	131.22
958	gradonačelnik	NOUN	116307	125.75
1173	skupina	NOUN	97766	105.71
1211	ustav	NOUN	93748	101.36
1219	propis	NOUN	93127	100.69
1272	stopa	NOUN	89157	96.40
1308	naveden	ADJ	87416	94.52
1320	povijest	NOUN	86078	93.07
1332	sv.	ADJ	84961	91.86
1340	sklop	NOUN	84610	91.48
1398	skup	NOUN	80514	87.05
1405	privreda	NOUN	79993	86.49
1417	pak	PART	79438	85.89
1444	županija	NOUN	77682	83.99
1460	djelatnost	NOUN	76865	83.11
1469	misija	NOUN	76216	82.41
1493	tvrtka	NOUN	75315	81.43
1495	štab	NOUN	75267	81.38
1556	dionica	NOUN	71582	77.40
1564	trend	NOUN	71089	76.86
1571	kup	NOUN	70791	76.54
1595	izvesti	VERB	69890	75.57
1635	otpor	NOUN	67547	73.03
1692	stizati	VERB	65122	70.41
1698	obuka	NOUN	64904	70.18
1719	objava	NOUN	63708	68.88
1735	nadležnost	NOUN	63009	68.13
1736	svojstvo	NOUN	63000	68.12
1761	učinak	NOUN	62192	67.24
1781	sjedište	NOUN	61459	66.45
1806	sajam	NOUN	60768	65.70
1825	pogodak	NOUN	59782	64.64
1826	prezabavan	ADP	59771	64.63
1844	udruga	NOUN	59055	63.85
1854	graničan	ADJ	58640	63.40
1886	zamjenik	NOUN	57628	62.31
1902	tabela	NOUN	57161	61.80
1916	povoljan	ADJ	56788	61.40
1931	logor	NOUN	56344	60.92
1955	prosječan	ADJ	55620	60.14
1973	opozicija	NOUN	54909	59.37
1979	pogon	NOUN	54745	59.19
1982	plin	NOUN	54632	59.07
1991	kadar	NOUN	54448	58.87
2022	porast	NOUN	53751	58.12
2030	načelo	NOUN	53329	57.66
2042	plasman	NOUN	52931	57.23
2065	prijem	NOUN	52329	56.58
2067	poticati	VERB	52280	56.53
2077	uzorak	NOUN	51816	56.02
2085	komora	NOUN	51639	55.83
2131	delati	NOUN	50342	54.43
2136	nacrt	NOUN	50195	54.27
2174	napon	NOUN	49403	53.42
2194	župa	NOUN	48941	52.92
2200	poremećaj	NOUN	48831	52.80
2205	otok	NOUN	48721	52.68
2229	rukovodstvo	NOUN	47888	51.78
2245	preminuti	VERB	47463	51.32
2274	razmjena	NOUN	46623	50.41
2286	dopustiti	VERB	46387	50.15
2302	čelnik	NOUN	45983	49.72
2364	osumnjičiti	ADJ	44648	48.27
